iter	Passed	Remaining
687	3382	1533
688	3403	1536
689	3408	1531
690	3413	1526
691	3420	1522
692	3425	1517
693	3430	1512
694	3437	1508
695	3442	1503
696	3447	1498
697	3454	1494
698	3458	1489
699	3463	1484
700	3469	1479
701	3474	1474
702	3478	1469
703	3484	1465
704	3489	1460
705	3493	1454
706	3498	1449
707	3503	1444
708	3507	1439
709	3514	1435
710	3518	1430
711	3522	1424
712	3526	1419
713	3531	1414
714	3535	1409
715	3539	1404
716	3544	1399
717	3548	1393
718	3552	1388
719	3556	1383
720	3561	1378
721	3565	1372
722	3569	1367
723	3576	1363
724	3581	1358
725	3586	1353
726	3592	1348
727	3596	1343
728	3600	1338
729	3605	1333
730	3610	1328
731	3615	1323
732	3619	1318
733	3624	1313
734	3628	1308
735	3632	1303
736	3637	1297
737	3641	1292
738	3645	1287
739	3649	1282
740	3655	1277
741	3659	1272
742	3663	1267
743	3666	1261
744	3672	1257
745	3676	1251
746	3680	1246
747	3687	1242
748	3691	1237
749	3695	1231
750	3702	1227
751	3705	1222
752	3709	1216
753	3713	1211
754	3719	1207
755	3723	1201
756	3727	1196
757	3733	1192
758	3737	1186
759	3741	1181
760	3747	1176
761	3751	1171
762	3755	1166
763	3759	1161
764	3765	1156
765	3769	1151
766	3773	1146
767	3779	1141
768	3784	1136
769	3788	1131
770	3793	1126
771	3797	1121
772	3801	1116
773	3806	1111
774	3812	1106
775	3816	1101
776	3821	1096
777	3827	1092
778	3830	1086
779	3834	1081
780	3838	1076
781	3844	1071
782	3848	1066
783	3852	1061
784	3858	1056
785	3862	1051
786	3866	1046
787	3871	1041
788	3877	1036
789	3880	1031
790	3884	1026
791	3890	1021
792	3894	1016
793	3898	1011
794	3904	1006
795	3907	1001
796	3911	996
797	3914	990
798	3920	986
799	3924	981
800	3927	975
801	3931	970
802	3936	965
803	3940	960
804	3943	955
805	3947	950
806	3952	945
807	3955	940
808	3959	934
809	3962	929
810	3968	924
811	3972	919
812	3975	914
813	3979	909
814	3983	904
815	3987	899
816	3991	893
817	3996	889
818	4000	884
819	4003	878
820	4008	873
821	4013	869
822	4017	864
823	4021	858
824	4025	853
825	4029	848
826	4033	843
827	4036	838
828	4040	833
829	4045	828
830	4048	823
831	4052	818
832	4056	813
833	4060	808
834	4064	803
835	4068	798
836	4073	793
837	4076	788
838	4080	782
839	4083	777
840	4088	772
841	4091	767
842	4095	762
843	4098	757
844	4104	752
845	4107	747
846	4110	742
847	4114	737
848	4119	732
849	4123	727
850	4126	722
851	4129	717
852	4135	712
853	4138	707
854	4141	702
855	4145	697
856	4151	692
857	4154	687
858	4158	682
859	4161	677
860	4167	672
861	4170	667
862	4174	662
863	4177	657
864	4182	652
865	4186	647
866	4189	642
867	4192	637
868	4198	632
869	4201	627
870	4205	622
871	4208	617
872	4214	613
873	4217	607
874	4220	602
875	4224	597
876	4229	593
877	4232	588
878	4236	583
879	4239	578
880	4244	573
881	4248	568
882	4251	563
883	4254	558
884	4260	553
885	4264	548
886	4267	543
887	4270	538
888	4276	533
889	4280	529
890	4283	524
891	4286	519
892	4292	514
893	4295	509
894	4298	504
895	4302	499
896	4307	494
897	4310	489
