iter	Passed	Remaining
854	11735	1990
855	11749	1976
856	11762	1962
857	11774	1948
858	11782	1933
859	11794	1920
860	11807	1906
861	11825	1893
862	11839	1879
863	11854	1865
864	11865	1851
865	11874	1837
866	11885	1823
867	11893	1808
868	11902	1794
869	11913	1780
870	11922	1765
871	11933	1751
872	11944	1737
873	11955	1723
874	11966	1709
875	11979	1695
876	11990	1681
877	11998	1667
878	12009	1653
879	12018	1638
880	12027	1624
881	12039	1610
882	12049	1596
883	12057	1582
884	12067	1568
885	12074	1553
886	12084	1539
887	12093	1525
888	12102	1511
889	12112	1497
890	12120	1482
891	12130	1468
892	12141	1454
893	12149	1440
894	12160	1426
895	12167	1412
896	12177	1398
897	12187	1384
898	12194	1370
899	12205	1356
900	12212	1341
901	12223	1328
902	12235	1314
903	12247	1300
904	12255	1286
905	12266	1272
906	12277	1258
907	12285	1244
908	12296	1231
909	12303	1216
910	12313	1202
911	12321	1188
912	12330	1174
913	12339	1161
914	12346	1146
915	12356	1133
916	12363	1119
917	12373	1105
918	12380	1091
919	12390	1077
920	12403	1063
921	12411	1049
922	12421	1036
923	12430	1022
924	12437	1008
925	12448	994
926	12455	980
927	12466	967
928	12475	953
929	12482	939
930	12493	925
931	12500	912
932	12510	898
933	12518	884
934	12527	870
935	12535	857
936	12543	843
937	12553	829
938	12561	815
939	12570	802
940	12577	788
941	12587	775
942	12600	761
943	12609	748
944	12620	734
945	12632	721
946	12642	707
947	12650	693
948	12663	680
949	12675	667
950	12682	653
951	12695	640
952	12706	626
953	12717	613
954	12727	599
955	12739	586
956	12767	573
957	12780	560
958	12791	546
959	12805	533
960	12821	520
961	12834	506
962	12846	493
963	12859	480
964	12869	466
965	12880	453
966	12893	440
967	12905	426
968	12921	413
969	12929	399
970	12940	386
971	12951	373
972	12959	359
973	12969	346
974	12977	332
975	12986	319
976	12995	305
977	13003	292
978	13013	279
979	13020	265
980	13031	252
981	13069	239
982	13099	226
983	13108	213
984	13125	199
985	13138	186
986	13145	173
987	13155	159
988	13163	146
989	13173	133
990	13184	119
991	13191	106
992	13201	93
993	13209	79
994	13218	66
995	13226	53
996	13234	39
997	13244	26
998	13252	13
999	13262	0
